Name,Value,Quantity,Notes
Bass, Bright, Normal,1M Log,3,
Bias,10K Lin,1,
Eyelet Board,,1,
C1b,1uF 63V,1,
C2, C3, C8, C9, C14,22nF 630V,5,
C4,100pF 500V,1,
C5, Cb, Cc,500pF 500V,3,
C7,250pF 500V,1,
C10,10nF 630V,1,
C11,47pF 500V,1,
C12, C13, C15,100nF 630V,3,
C18, C19,10uF 160V,2,
C1a,47uF 63V,1,
C6b,15uF 500V,1,
Ca,47nF 630V,1,
D1, D2, D3, D4, D5,,5,
ELL1, ELL2, ELL3, ELL4,,4,
Eyelet,,65,
Humdinger,100Ω Lin,1,
J12, J13, J15,,3,
Middle,25K Lin,1,
Power, Standby,SPDT,2,
Presence, Scale Control,25K Log,2,
R1, R4, R16,10K 5W,3,
R3, R6, R18, R22,1M 2W,4,
R7, R8, R12, R14, R19, Rb, Rc,100K 2W,7,
R10, R11,270K 2W,2,
R13,820Ω 2W,1,
R15,56K 2W,1,
R17,82K 2W,1,
R20,470Ω 2W,1,
R21, R40, R43, Rd,10K 2W,4,
R22,10K,1,
R24, R25,220K 2W,2,
R26,27K 2W,1,
R27, R28,470Ω 5W,2,
R29,150K 5W,1,
R30,33K 2W,1,
R32,1K 5W,1,
R33, R34,1Ω 2W,2,
R36, R37,5,6K 2W,2,
R39,220K 5W,1,
R40, R42,5K 2W,2,
R41,39K 2W,1,
R9a,1,5K 2W,1,
R9b,2,7K 2W,1,
Ra,100K 5W,1,
RECT1, RECT2, RECT3,,3,
Treble,250K Lin,1,
V1, V2, V3,,3,
V4, V5,KT66,2,
V6,GZ34,1,
